book,book_class,slice_id,content
1,early,0,første bog danskernes historie begynder med dan og angel humbles sønner som ikke alene var vores folks grundlæggere men også dets herskere om end dudo forfatteren til aquitaniens historie fortæller at danskerne nedstammer fra danaerne og har deres navn fra dem men selv om de to fik magten over riget med folkets fulde billigelse og af et enigt folk blev valgt til herskere som tak for deres tapperhed og store bedrifter blev de aldrig kaldt konger for på det tidspunkt var den titel endnu ikke kommet brug hos os den ene af de to angel som ifølge overleveringen blev stamfar til anglerne gav det landskab han regerede over navn efter sig selv for med denne beskedne form for mindesmærke kunne han sikre sig selv evig berømmelse da hans efterkommere senere erobrede britannien udskiftede de øens gamle navn med et nyt nemlig deres hjemegns det var en begivenhed man gamle dage tillagde stor betydning som vi kan se det hos beda en af de betydeligste teologiske forfattere der selv var født england og gjorde meget ud af at indføje sit lands historie sine værkers hellige skatkammer for hans øjne var det en lige så from handling at skildre fædrelandets historie som at skrive om teologiske emner efter hvad traditionen siger var det så dan der blev ophav til vores kongeslægt og fra det udspring har den om man så må sige fortsat sit prægtige løb generation efter generation dan selv fik sønnerne humble og løder og deres mor var en højfornem
1,early,1,tysk kvinde ved navn af sider saxo saxos danmarks historie grida når de skulle vælge en konge plejede vores forfædre at stå på store sten der stod fast jorden som et varsel om at valget var lige så fast og urokkeligt som stenene de stod på da hans far døde var det ved dette ritual at humble blev valgt til konge hvilket altså var et nyt embede her landet men senere var skæbnen ond nok til at reducere ham til et almindeligt menneske igen en krig blev han nemlig taget til fange af løder og måtte betale for sit liv ved at afstå fra tronen nederlagets stund var det den eneste mulighed han fik for at redde livet og ved sådan at blive overfaldet og tvunget til at frasige sig magten af sin egen bror blev han et eksempel for alle på at selv om der er større pragt kongens hal er der større tryghed en simpel hytte men han fandt sig så tålmodigt uretten at det omtrent så ud som om han tog det som en kærkommen gave at miste sin position han havde nok gennemskuet hvad det indebærer at være konge vil jeg tro men løder var ikke mere behagelig som konge end han havde været som kriger og det virkede som om han ville indvarsle sin regering med overmod og ugerninger at myrde eller udplyndre alle de mest fremtrædende mænd han kunne finde og dræne riget for gode borgere det var hans øjne en helt respektabel fremgangsmåde
1,early,2,og han betragtede alle der var lige så fornemme som ham selv som rivaler til tronen til gengæld fik han heller ikke lov at vente længe på sin straf men bukkede under da der udbrød oprør landet et oprør havde skaffet ham tronen og et oprør tog også livet af ham hans søn skjold havde arvet sin fars evner men ikke hans opførsel han gjorde sig allerede som barn de største anstrengelser for ikke at følge faderens fodspor og gik en stor bue uden om familiens fejl han undgik klogeligt sin fars skavanker men efterlevede med held sin farfars storhed og tog således den fjernere men også bedre del af sin arv til sig som ung gjorde han sig bemærket blandt sin fars jægere ved at nedlægge et kæmpemæssigt vilddyr en forbløffende bedrift der gav varsler om den tapperhed han senere skulle komme til at vise han havde nemlig engang fået lov af sine formyndere de mænd der med stor omhu sørgede for hans opdragelse til at gå med og se på jagten og stod pludselig ansigt til ansigt med en kæmpemæssig bjørn våben havde han ikke men det lykkedes ham at binde den med sit bælte så hans kammerater kunne dræbe den men man fortæller også at han samme periode besejrede adskillige kendte kraftkarle tvekamp deriblandt berømte folk som atal og skat allerede som femtenårig havde han vokset sig så usædvanlig stor og stærk at han var et pragteksemplar af en mand og han gav så store prøver på
1,early,3,sine evner at danskernes konger siden har haft navn efter ham og under ét kaldes skjoldunger tilsvarende irettesatte han alle der levede et slapt og løsagtigt liv og undergravede alt mådehold med ødselhed og udsvævelser og han forsømte ingen lejlighed til atter at vække dem til ædel handling skjold var altså tidligt udvokset men endnu tidligere modnet af sind og han deltog tvekampe af sider saxo saxos danmarks historie som han med sin unge alder dårligt nok kunne være tilskuer til da han var nået så vidt alder og storhed bejlede han til alvild som var en stor skønhed og af samme grund udfordrede hans rival den tyske fyrste skate ham til tvekamp de kæmpede hele den danske og den tyske hærs påsyn og da skate faldt gjorde skjold det tyske folk skatskyldigt eftersom de måtte regnes for besejrede når deres hærfører var dræbt men det var ikke kun kamp han viste sin storhed men også ved sin hengivenhed over for fædrelandet han afskaffede uretfærdige love og indførte nyttige og udførte det hele taget med den største omhu alt hvad der kunne gøre riget gavn ja kraft af alle sine store dyder genvandt han det rige hans far havde mistet ved sin ondskab han var den første der ved lov gjorde det muligt at tilbagekalde frigivelser af trælle en træl som han havde skænket friheden havde forsøgt at snigmyrde ham og han lod straffen blive hård som om denne ene mands forbrydelse med rimelighed skulle gå ud over alle frigivne
1,early,4,han betalte alle andres gæld af sin egen kasse og det var som om han kappedes med andre konger ikke kun tapperhed men også gavmildhed og storsind han plejede de syge og bragte ofte lindring til dem med svære lidelser for at vise at det var riget han følte ansvar for og ikke sig selv stormændene belønnede han ikke kun med betaling af egne midler men også med det bytte han tog fra fjenderne for som han plejede at sige pengene skulle krigerne have men hæderen var hærførerens pigen han havde kæmpet for tog han nu hvor hans bitreste rival var død som belønning for sin sejr og gjorde hende til sin hustru med hende fik han kort tid efter sønnen gram han viste forbavsende anlæg der den grad mindede om hans fars at man ligefrem skulle tro han trådte hans fodspor de fremragende gaver han var udstyret med såvel sjæl som legeme førte ham allerede som ung mod berømmelsens tinder og eftertiden har haft så høje tanker om hans storhed at hans navn de ældste danske digte er ensbetydende med kongelighed alt hvad der kunne styrke og opøve hans kræfter dyrkede han ivrigt og opmærksomt hos fægtemestrene lærte han sig ved omhyggelig træning både at give og parere hug og stik hans plejefar roar havde en datter på hans egen alder som havde diet ved samme bryst som han og som en særlig tak til sit barndomshjem gjorde han hende til sin hustru men senere giftede han hende væk
1,early,5,som løn til en vis besse der tit og ofte havde ydet ham tapper hjælp og støtte besse stod trolig ved hans side kamp og strid og det er ikke let at sige om det var hans egen eller besses tapperhed der vandt ham størst hæder da gram engang hørte at den svenske kong sigtrygs datter gro var blevet lovet bort til en af jætterne blev han dybt forarget over at en kongedatter skulle indgå så nedværdigende et ægteskab og kastede sig ud på et felttog til sverige for at kæmpe med uhyrer som en anden tapper herkules han nåede ind götland hvor han for at skræmme alle han mødte gik rundt et gedeskind indhyllet huder fra alskens vilde dyr og med en drabelig kølle hånden for rigtig at ligne en jætte her mødte han så tilfældigvis gro selv som kom ridende med nogle af sider saxo saxos danmarks historie få piger til opvartning på vej til en skovsø for at bade hun tog ham for sin kommende ægtemand men blev samtidig som den kvinde hun var forskrækket over hans sære fremtoning slap tøjlerne og begyndte rystende over hele kroppen at tale på vers på vores hjemlands sprog hvem ser jeg her det er ham den jætte som høvdingen hader går han midt på min vej skygger for alt med sit skridt eller måske ta jeg fejl det sker slet ikke så sjældent at et vilddyrskind skjuler den tapreste mand besse svarede pige der knuger hesten om flanken hør hvad
1,early,6,jeg siger svar på mit spørgsmål sig hvad du hedder hvorfra du stammer hvad er din herkomst hertil svarede gro gro det er navnet kongen mit ophav ædel af stamme strålende kriger sig mig så selv hvem du er og hvorfra kom lad mig høre hertil svarede besse jeg kaldes besse kampberedt tapper grusom mod fjender folkeslags rædsel ofte min hånd jeg væder med andre krigeres blodstrøm så sagde gro hvem er din herre høvding for hæren hvem er den mand hvis felttegn fører hvem står spidsen af sider saxo saxos danmarks historie stridshærens hersker hvem har befaling opstiller styrken og besse svarede gram fører hæren krigslykken har han vold eller trusler kuer ham aldrig knitrende ligbål lynende klinger bølgernes brølen ham skræmmer intet han er vor fører under hans felttegn kæmper vi pige og gro sagde så gør omkring nu hjem hvor kom fra ellers vil sigtryg med sine krigsfolk knuse jer alle lægge en løkke stramt om hver strube klynge jer op grufulde galger dinglende under snærende knuder rasende give glubende ravne ådsler at æde og besse sagde før da vil gram dog selv sende ham til skyggernes rige længe før skæbnen lukker hans øjne styrter han sigtryg hovedkulds ned dødsrigets rædsel af sider saxo saxos danmarks historie svenskernes krigsfolk frygter vi ikke hvorfor dog true os med et grusomt endeligt pige hertil svarede gro hjem vil jeg drage gense min faders velkendte kongsgård ja for din broders hær har jeg ikke mod til at møde men hvis
1,early,7,bli her håber jeg døden henter jer alle hertil sagde besse gå du med glæde hjem til din fader hvorfor så hastigt ønske os døde hvorfor skal galden bruse brystet først viser kvinden ofte sin frier vrangvilligt fra sig kommer han atter gi hun sig gerne herefter kunne gram ikke længere holde sig tavs og han talte nu til hende med en grov og rå stemme der skulle lyde vild og skrækindjagende ingen pige bør frygte en bror til den grusomme jætte ingen skal blegne af skræk ved at stå over for mig grip har sendt mig hertil men en pige der ikke er villig ta jeg ikke med vold tvinger jeg ikke til sengs gro svarede af sider saxo saxos danmarks historie hvilken pige med nogen fornuft bli luder for jætter hvem kan med nogen lyst ligge uhyrets seng hvem vil være en djævels brud når hun ved at hans sæd undfanger troldebørn og hvem hele verden vil dele sin seng med et kæmpevæsen hvem vil kramme en tjørnegren hvem vil fæste et kys midt en mudderpøl og lægge sig med silkeblødt legeme grelt imod lodne lemmer mellem ulige skabninger nydes elskovens leg aldrig fulde drag en kvindes ægte kærlighed passer kun dårligt til grumme udyr men gram svarede ofte har jeg med denne hånd tvunget mægtige mænd herskere dybt knæ sat deres stolte indbildskhed grundigt til vægs med en magtfuld næve modtag derfor det røde guld denne gave skal nu stifte en varig pagt af den skal evig
1,early,8,troskab gro hvorpå vort ægteskabs grund kan bygges med de ord kastede han forklædningen og så snart han åbenbarede sine egne kønne ansigtstræk virkede han omtrent lige så tiltrækkende på pigen som han den falske skikkelse havde været skræmmende med sit underskønne ydre lokkede han hende til at ligge med ham og han glemte ikke at opmuntre hende med elskovsgaver nu fortsatte han rejsen og et sted undervejs hørte han fra folk han mødte at to røvere lå på lur længere fremme på stien dem dræbte han med et eneste slag da de ivrigt fór frem for at plyndre ham men for at ingen skulle kunne sige om ham at han havde gjort fjendens land en tjeneste stablede han de døde kroppe op på højkant og spændte dem fast til pæle som om de stod på benene så synet kunne skræmme folk nu de var døde ligesom deres gerninger havde gjort dem ondt dengang de levede også efter døden skulle de være skrækindjagende og ved deres blotte fremtoning spærre vejen lige så meget som de før havde gjort det med deres handlinger deraf kan man se at det var for sin egen skyld han slog røverne ihjel ikke for svenskernes for med sin bemærkelsesværdige handling viste han netop hvor meget han hadede de svenske af sider saxo saxos danmarks historie fra sine spåmænd havde han hørt at guld var det eneste der kunne besejre sigtryg og derfor fik han straks sat en kugle af guld på sin kølle af træ
1,early,9,og med den som våben drog han slag mod kongen og opnåede hvad han havde ønsket herom sang besse dette hyldestkvad gram den stærke greb om sin gode kølle glemte jern og stål og lod træet tale fægted uden sværd og lod kævlen knuse herskerens våben fulgte skæbnens bud og de højes vilje undertvang det stolte men svage sverig da han dræbte kongen med slag fra køllen slog ham med guldet ja han grubled længe og fandt en udvej svang den gyldne kølle med begge næver til han triumf med et prægtigt slag drev kongen støvet den som skæbnen ikke lod jernet fælde overvandt han klogt med sin stærke guldstav sværdet tav men andet metal og bedre sikrede sejren dyrebar er køllen dens ry vil vare vandre stadig videre ud verden med sin skaber gram skal den indta ærens højeste tinde nu hvor han havde gjort det af med kong sigtryg af sverige var gram ivrig efter at befæste sin magt over det rige han havde vundet sig med våben og da han havde en mistanke om at svarin jarlen af götland var ude efter kongemagten udfordrede han ham til tvekamp og dræbte ham jarlens brødre syv ægtefødte og ni sønner af en elskerinde forsøgte at hævne broderens død en ulige kamp men dem gjorde han det også af med hans far der nu var ved enden af sit liv belønnede ham for alle disse store bedrifter ved at gøre ham til medregent stedet for at sidde alene med magten
