# Smurf data generated: 2018-10-29_13:27:44

year,total_articles,sur,glad
1750,2330,139,10
1751,3495,266,6
1752,4104,185,5
1753,5256,310,5
1754,5079,300,1
1755,5360,249,6
1756,5389,284,3
1757,5671,301,3
1758,5435,253,5
1759,8721,558,10
1760,9839,540,22
1761,10670,560,11
1762,9933,796,18
1763,12167,1017,21
1764,13140,1048,16
1765,13052,1275,16
1766,12771,1285,19
1767,16015,1338,38
1768,12178,716,23
1769,14828,958,27
1770,16697,986,29
1771,17203,980,28
1772,15550,716,52
1773,20718,905,50
1774,21246,940,60
1775,22122,958,41
1776,21783,899,57
1777,22870,1055,52
1778,21627,717,49
1779,20012,484,50
1780,20449,611,61
1781,19947,509,76
1782,20370,559,64
1783,19765,760,60
1784,21024,807,47
1785,21263,836,68
1786,22505,1289,66
1787,22623,1046,41
1788,23479,1158,74
1789,26752,1398,140
1790,27384,1436,134
1791,27564,1286,66
1792,31187,1173,91
1793,27566,1158,82
1794,27866,1185,63
1795,29733,1350,68
1796,29501,1276,80
1797,34804,1428,87
1798,38654,1654,64
1799,36042,1380,71
1800,41106,1780,75
1801,40159,1548,66
1802,44762,1779,67
1803,48330,1595,57
1804,54202,1876,82
1805,52922,1492,111
1806,56117,1459,119
1807,54383,1310,108
1808,56836,1250,113
1809,55020,1349,131
1810,61219,1579,150
1811,64804,1750,141
1812,62188,1688,122
1813,57351,1530,120
1814,56242,1577,123
1815,61471,1743,137
1816,68480,2241,179
1817,71444,2249,162
1818,73217,2419,167
1819,72636,2350,186
1820,74386,2354,225
1821,72641,2353,182
1822,69551,2641,160
1823,70795,2582,185
1824,72598,2615,181
1825,72513,2331,167
1826,75489,2422,154
1827,72464,2275,135
1828,77040,2401,263
1829,83234,2411,244
1830,87142,2335,265
1831,92587,2478,249
1832,95859,2781,215
1833,94561,3071,313
1834,95392,3610,266
1835,100776,4187,208
1836,107913,3782,245
1837,101883,3806,241
1838,102325,3801,267
1839,97931,4221,319
1840,111141,4962,381
1841,114295,6718,367
1842,134953,7927,344
1843,121856,6866,406
1844,111087,6931,332
1845,142445,6993,619
1846,149953,9350,664
1847,160082,9679,632
1848,160119,8766,615
1849,166075,11152,781
1850,172939,10817,835
1851,199217,14421,871
1852,226865,15693,928
1853,224897,18939,831
1854,237286,19380,837
1855,253060,21767,1086
1856,270437,19633,850
1857,292611,20940,860
1858,319745,25619,967
1859,317357,24354,905
1860,321263,24456,1200
1861,343568,27270,1319
1862,355256,26142,1340
1863,379298,31548,1498
1864,360761,34617,1545
1865,398158,39653,1601
1866,440161,40906,1687
1867,480894,44940,1881
